transaction_id,timestamp,customer_id,persona,merchant,amount,country,transaction_type,device,preferred_device,hour,fraud_score,label
404cc78c-b0bf-41e3-ac70-fd5fe2047e57,2026-07-20T21:22:13,CUST00001,Student,Checkers,74.71,France,WIRE_TRANSFER,DEVICE004,DEVICE004,21,4.6,0
0796b551-4520-4da4-9e3a-69615ad9eeff,2026-07-20T00:17:24,CUST00001,Student,Uber,58.12,Iran,CRYPTO,BLACKLISTED_DEVICE,DEVICE004,0,10.8,1
5570c66c-60e1-4cf5-8ffa-374c58529045,2026-07-20T07:51:34,CUST00001,Student,Uber,68.94,France,CASH_WITHDRAWAL,DEVICE004,DEVICE004,7,3.6,0
5a4e37e7-0792-4e5d-bc09-602a2cc18fcf,2026-07-20T15:31:22,CUST00001,Student,Uber,111.71,France,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,15,4.1,0
09778020-9e2b-4aa5-878c-8ed02af2611d,2026-07-20T08:20:38,CUST00001,Student,Netflix,75.18,France,WIRE_TRANSFER,DEVICE004,DEVICE004,8,4.4,0
ffbae3e7-011a-44c5-96ba-37bc44e0361a,2026-07-20T01:30:33,CUST00001,Student,Uber,39.7,France,BANK_TRANSFER,DEVICE004,DEVICE004,1,3.4,0
12f680fc-b6a0-4bed-bf41-0b76a03d983c,2026-07-20T05:42:15,CUST00001,Student,Checkers,95.01,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,5,2.8,0
1d00a288-3d2e-4901-9dbb-ebaefb16b20c,2026-07-20T07:51:24,CUST00001,Student,Checkers,77.53,France,POS,DEVICE004,DEVICE004,7,1.7,0
8391b4f0-27f4-47ae-954d-e818e950b46d,2026-07-20T05:20:51,CUST00001,Student,Checkers,107.64,France,ATM,DEVICE004,DEVICE004,5,3.0,0
0072877e-414d-4942-a7f2-abce76b730e9,2026-07-20T22:36:36,CUST00001,Student,Netflix,89.82,France,POS,DEVICE004,DEVICE004,22,1.5,0
d70e83ed-a795-4c23-9d1b-dd6d374b8de3,2026-07-20T15:11:31,CUST00001,Student,Uber,79.73,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,15,1.8,0
33517ad0-bca2-473b-bedb-54ad4833bca0,2026-07-20T19:33:30,CUST00001,Student,Uber,44.27,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,19,1.8,0
3aa8e77b-dbea-4285-85a6-c203b0311f1d,2026-07-20T04:11:58,CUST00001,Student,Uber,62.38,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,4,2.8,0
8efa8c27-71de-4f94-a45a-b7ce3ba88709,2026-07-20T18:09:49,CUST00001,Student,Checkers,41.97,France,ATM,DEVICE004,DEVICE004,18,2.0,0
1bccbd9a-d55c-4090-a29f-733d599c734e,2026-07-20T02:42:25,CUST00001,Student,Uber,100.99,France,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,2,5.1,0
67f019d6-17df-477d-9272-38b21b19732c,2026-07-20T10:10:46,CUST00001,Student,Netflix,45.08,France,BANK_TRANSFER,DEVICE004,DEVICE004,10,2.2,0
4dcd083b-645d-4f58-9fd5-b0849e5d7f39,2026-07-20T20:45:35,CUST00001,Student,Checkers,96.89,France,CRYPTO,DEVICE004,DEVICE004,20,4.6,0
7b6fe7c1-f6e9-4674-859f-2061e4b8057c,2026-07-20T07:52:11,CUST00001,Student,Netflix,104.22,France,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,7,3.9,0
fcdf5f20-7f87-445f-b956-1d2925defb47,2026-07-20T04:00:44,CUST00001,Student,Checkers,60.51,France,BANK_TRANSFER,DEVICE004,DEVICE004,4,3.4,0
17e07327-7a51-47ac-aab1-0c74994c978c,2026-07-20T05:58:51,CUST00001,Student,Netflix,66.87,France,POS,DEVICE004,DEVICE004,5,2.5,0
b4ba02d3-d3d4-45bd-ae9a-6d749f78075e,2026-07-20T15:47:04,CUST00001,Student,Netflix,54.07,France,ONLINE,DEVICE004,DEVICE004,15,1.6,0
c9784542-6e05-4041-8a66-5270cf709964,2026-07-20T05:05:52,CUST00001,Student,Uber,63.51,France,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,5,5.1,0
7ef5ab23-e064-48a9-b28f-d97804c22814,2026-07-20T14:50:06,CUST00001,Student,Unknown Merchant,87.75,France,INTERNATIONAL_TRANSFER,BLACKLISTED_DEVICE,DEVICE004,14,9.8,1
0a060470-899e-49c0-b2fc-e525ca731097,2026-07-20T14:10:56,CUST00001,Student,Netflix,37.6,France,WIRE_TRANSFER,DEVICE004,DEVICE004,14,4.4,0
319bcac7-3246-43f5-8267-76c47df41c92,2026-07-20T11:06:53,CUST00001,Student,Checkers,74.48,France,WIRE_TRANSFER,DEVICE004,DEVICE004,11,4.6,0
a14cd38c-e3c9-4ad7-80a2-331196381402,2026-07-20T05:51:54,CUST00001,Student,Checkers,96.65,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,5,2.8,0
a6b573c4-5e91-43bb-9c8a-467745ceb1d7,2026-07-20T08:04:21,CUST00001,Student,Uber,59.62,France,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,8,4.1,0
28f9ecec-81b2-407f-9448-70e07b5493cb,2026-07-20T23:01:27,CUST00001,Student,Uber,104.09,Iran,INTERNATIONAL_TRANSFER,DEVICE004,DEVICE004,23,6.3,1
97e9bc4e-b4bf-4c29-be1e-7495551dfbf0,2026-07-20T02:15:06,CUST00001,Student,Netflix,578.79,France,WIRE_TRANSFER,BLACKLISTED_DEVICE,DEVICE004,2,8.4,1
a13f3739-53fd-40ee-92cd-4db95db24372,2026-07-20T15:23:00,CUST00001,Student,Uber,66.97,France,CASH_WITHDRAWAL,DEVICE004,DEVICE004,15,3.6,0
5ff4063a-8418-47e3-bb81-2477073b3e66,2026-07-20T06:54:07,CUST00001,Student,Checkers,44.07,Iran,CRYPTO,UNKNOWN_DEVICE,DEVICE004,6,8.3,1
6f8120da-92eb-4d31-87bb-f5a37cf74b83,2026-07-20T15:16:05,CUST00001,Student,Checkers,96.37,France,CRYPTO,DEVICE004,DEVICE004,15,4.6,0
eab7ed52-d94b-4caf-a626-50a8b4b6a02b,2026-07-20T11:23:11,CUST00001,Student,Netflix,78.31,France,ATM,DEVICE004,DEVICE004,11,1.8,0
83de4118-f436-4e51-82b4-07dca32f2008,2026-07-20T14:53:17,CUST00001,Student,Checkers,40.85,France,CRYPTO,DEVICE004,DEVICE004,14,4.6,0
c38788e6-64ae-4fe8-a98c-59b45d736571,2026-07-20T02:51:34,CUST00001,Student,Netflix,42.12,France,ONLINE,DEVICE004,DEVICE004,2,2.6,0
09d718ea-634f-4514-8d64-ed0c886e72bc,2026-07-20T03:19:05,CUST00001,Student,Checkers,1183.2,France,CRYPTO,DEVICE004,DEVICE004,3,5.6,0
16608ad5-4de1-40e1-b5fb-bdf16949baa7,2026-07-20T16:33:51,CUST00001,Student,Checkers,105.21,France,POS,DEVICE004,DEVICE004,16,1.7,0
dfcebc4f-9743-451a-b6d3-e134425371ec,2026-07-20T03:28:11,CUST00001,Student,Netflix,88.32,France,ATM,DEVICE004,DEVICE004,3,2.8,0
dc7ae7a9-9e91-4c7c-862c-accda902875d,2026-07-20T01:53:38,CUST00001,Student,Uber,774.99,France,MOBILE_PAYMENT,DEVICE004,DEVICE004,1,2.8,0
3c24ce8f-0b52-451f-bad9-13b8ac95efca,2026-07-20T02:25:35,CUST00001,Student,Checkers,61.48,France,ONLINE,DEVICE004,DEVICE004,2,2.8,0
